Station,Camera,gps_y,gps_x,Setup_date,Retrieval_date
SKP1,75,-0.307,-76.242,14/7/2022,22/11/2022
SKP10,35,-0.373,-76.275,16/7/2022,19/11/2022
SKP11,36,-0.303,-76.303,18/7/2022,16/11/2022
SKP12,37,-0.321,-76.301,18/7/2022,16/11/2022
SKP13,38,-0.342,-76.297,18/7/2022,16/11/2022
SKP14,39,-0.313,-76.32,16/7/2022,17/11/2022
SKP15,40,-0.373,-76.294,18/7/2022,19/11/2022
SKP16,41,-0.316,-76.342,14/7/2022,15/11/2022
SKP17,42,-0.336,-76.339,18/7/2022,17/11/2022
SKP18,43,-0.351,-76.328,18/7/2022,17/11/2022
SKP19,44,-0.317,-76.361,14/7/2022,19/11/2022
SKP2,45,-0.298839,-76.265275,20/7/2022,24/11/2022
SKP20,46,-0.32,-76.387,14/7/2022,16/11/2022
SKP21,47,-0.347,-76.404,19/7/2022,17/11/2022
SKP22,48,-0.347,-76.387,19/7/2022,17/11/2022
SKP23,49,-0.363,-76.406,19/7/2022,17/11/2022
SKP24,50,-0.362,-76.378,19/7/2022,17/11/2022
SKP26,52,-0.385,-76.38,15/7/2022,18/11/2022
SKP27,53,-0.389,-76.356,17/7/2022,20/11/2022
SKP28,54,-0.396,-76.29,17/7/2022,20/11/2022
SKP29,55,-0.397,-76.273,17/7/2022,19/11/2022
SKP3,57,-0.319,-76.26,14/7/2022,21/11/2022
SKP31,59,-0.306,-76.422,17/7/2022,15/11/2022
SKP32,60,-0.293,-76.442,17/7/2022,16/11/2022
SKP33,61,-0.283,-76.461,21/7/2022,20/11/2022
SKP34,62,-0.274,-76.438,21/7/2022,15/11/2022
SKP35,63,-0.276,-76.41,21/7/2022,16/11/2022
SKP37,65,-0.254,-76.434,21/7/2022,16/11/2022
SKP4,66,-0.343,-76.255,16/7/2022,21/11/2022
SKP5,67,-0.365,-76.255,16/7/2022,19/11/2022
SKP6,68,-0.298,-76.285,14/7/2022,17/11/2022
SKP7,69,-0.316,-76.281,14/7/2022,17/11/2022
SKP8,70,-0.336,-76.277,14/7/2022,17/11/2022
SKP9,77,-0.354128,-76.27821,25/7/2022,14/11/2022
