Station,Camera,Species,DateTimeOriginal,Date,Time
11,11B,Tayassu-pecari,7/3/18 16:54,7/3/18,16:54:54
6,6A,Cuniculus-paca,7/4/18 19:08,7/4/18,19:08:46
4,4B,Mazama-gouazoubira,7/4/18 19:49,7/4/18,19:49:36
12,12B,Dasypus-novemcinctus,7/4/18 22:51,7/4/18,22:51:27
6,6A,Cuniculus-paca,7/4/18 23:45,7/4/18,23:45:33
13,13A,NAN-NAN,7/5/18 0:26,7/5/18,0:26:24
4,4A,Tapirus-terrestris,7/5/18 4:37,7/5/18,4:37:33
4,4B,Mazama-gouazoubira,7/5/18 4:37,7/5/18,4:37:45
4,4B,Mitu-salvini,7/5/18 6:33,7/5/18,6:33:52
13,13A,Psophia-crepitans,7/5/18 10:40,7/5/18,10:40:29
4,4B,Tayassu-pecari,7/5/18 11:09,7/5/18,11:09:04
13,13A,Dasyprocta-fuliginosa,7/5/18 16:34,7/5/18,16:34:14
6,6A,Cuniculus-paca,7/5/18 19:14,7/5/18,19:14:55
8,8A,Cuniculus-paca,7/5/18 19:55,7/5/18,19:55:12
6,6A,Cuniculus-paca,7/5/18 20:21,7/5/18,20:21:45
6,6A,Cuniculus-paca,7/5/18 20:55,7/5/18,20:55:08
6,6A,Cuniculus-paca,7/5/18 22:05,7/5/18,22:05:01
6,6A,Cuniculus-paca,7/5/18 22:56,7/5/18,22:56:04
6,6A,Cuniculus-paca,7/5/18 23:38,7/5/18,23:38:35
6,6A,Atelocynus-microtis,7/6/18 5:31,7/6/18,5:31:31
4,4B,Mazama-americana,7/6/18 7:49,7/6/18,7:49:13
13,13A,Psophia-crepitans,7/6/18 8:23,7/6/18,8:23:21
8,8B,Mazama-gouazoubira,7/6/18 17:09,7/6/18,17:09:31
28,28A,Myrmecophaga-tridactyla,7/6/18 18:16,7/6/18,18:16:31
11,11A,Tayassu-pecari,7/6/18 18:59,7/6/18,18:59:09
29,29A,Nasua-nasua,7/6/18 19:48,7/6/18,19:48:41
6,6A,Cuniculus-paca,7/6/18 20:22,7/6/18,20:22:40
6,6A,Cuniculus-paca,7/6/18 22:09,7/6/18,22:09:21
17,17A,Mazama-americana,7/6/18 22:44,7/6/18,22:44:00
6,6A,Cuniculus-paca,7/6/18 23:21,7/6/18,23:21:35
8,8A,Cuniculus-paca,7/6/18 23:54,7/6/18,23:54:18
22,22A,Tapirus-terrestris,7/7/18 1:24,7/7/18,1:24:05
22,22B,Mazama-gouazoubira,7/7/18 1:24,7/7/18,1:24:29
21,21A,Mazama-gouazoubira,7/7/18 2:32,7/7/18,2:32:24
8,8A,Cuniculus-paca,7/7/18 3:22,7/7/18,3:22:40
26,26A,Cuniculus-paca,7/7/18 3:24,7/7/18,3:24:07
22,22A,Psophia-crepitans,7/7/18 8:48,7/7/18,8:48:26
15,15A,Atelocynus-microtis,7/7/18 13:38,7/7/18,13:38:07
8,8A,Crypturellus-undulatus,7/7/18 16:27,7/7/18,16:27:36
9,9A,Myoprocta-pratti,7/7/18 21:03,7/7/18,21:03:31
25,25A,Cuniculus-paca,7/8/18 3:14,7/8/18,3:14:13
15,15A,Atelocynus-microtis,7/8/18 5:24,7/8/18,5:24:48
13,13A,Psophia-crepitans,7/8/18 6:38,7/8/18,6:38:55
24,24B,NA-NA,7/8/18 7:21,7/8/18,7:21:24
9,9A,Psophia-crepitans,7/8/18 8:01,7/8/18,8:01:15
11,11B,Mazama-gouazoubira,7/8/18 8:23,7/8/18,8:23:00
19,19B,Pecari-tajacu,7/8/18 8:43,7/8/18,8:43:00
21,21A,Mazama-americana,7/8/18 10:07,7/8/18,10:07:28
12,12A,Pecari-tajacu,7/8/18 15:29,7/8/18,15:29:46
13,13A,Psophia-crepitans,7/8/18 15:42,7/8/18,15:42:12
18,18B,Pecari-tajacu,7/8/18 16:10,7/8/18,16:10:00
3,3B,Cuniculus-paca,7/8/18 19:50,7/8/18,19:50:18
11,11A,Mazama-gouazoubira,7/8/18 20:23,7/8/18,20:23:13
3,3B,Cuniculus-paca,7/8/18 20:38,7/8/18,20:38:24
15,15B,Mazama-gouazoubira,7/8/18 22:31,7/8/18,22:31:32
8,8A,Cuniculus-paca,7/9/18 2:32,7/9/18,2:32:09
2,2B,Atelocynus-microtis,7/9/18 5:20,7/9/18,5:20:15
12,12A,Pecari-tajacu,7/9/18 6:32,7/9/18,6:32:51
18,18A,Psophia-crepitans,7/9/18 8:29,7/9/18,8:29:12
21,21B,Psophia-crepitans,7/9/18 11:04,7/9/18,11:04:53
7,7B,Tayassu-pecari,7/9/18 11:50,7/9/18,11:50:15
8,8A,Dasyprocta-fuliginosa,7/9/18 12:27,7/9/18,12:27:51
15,15B,Eira-barbara,7/9/18 13:02,7/9/18,13:02:30
7,7B,Mitu-salvini,7/9/18 13:34,7/9/18,13:34:30
11,11A,Atelocynus-microtis,7/9/18 15:13,7/9/18,15:13:05
16,16A,Psophia-crepitans,7/9/18 15:27,7/9/18,15:27:27
4,4A,Mitu-salvini,7/9/18 16:59,7/9/18,16:59:42
15,15A,Atelocynus-microtis,7/9/18 18:39,7/9/18,18:39:55
29,29B,Tapirus-terrestris,7/9/18 23:33,7/9/18,23:33:57
2,2B,Cuniculus-paca,7/10/18 0:00,7/10/18,0:00:03
29,29B,Tapirus-terrestris,7/10/18 2:40,7/10/18,2:40:09
4,4B,Crypturellus-undulatus,7/10/18 6:52,7/10/18,6:52:21
3,3A,Nothocrax-urumutum,7/10/18 7:10,7/10/18,7:10:53
18,18A,Panthera-onca,7/10/18 10:21,7/10/18,10:21:03
22,22A,Dasyprocta-fuliginosa,7/10/18 10:54,7/10/18,10:54:48
30,30B,Tayassu-pecari,7/10/18 15:28,7/10/18,15:28:01
30,30A,Pecari-tajacu,7/10/18 15:31,7/10/18,15:31:36
15,15B,Pecari-tajacu,7/10/18 16:17,7/10/18,16:17:23
9,9A,Psophia-crepitans,7/10/18 16:46,7/10/18,16:46:52
29,29B,Tapirus-terrestris,7/10/18 17:37,7/10/18,17:37:57
4,4B,Crypturellus-undulatus,7/10/18 17:55,7/10/18,17:55:52
25,25A,Myoprocta-pratti,7/10/18 18:01,7/10/18,18:01:38
8,8A,Tapirus-terrestris,7/10/18 18:51,7/10/18,18:51:54
21,21A,Cuniculus-paca,7/10/18 19:01,7/10/18,19:01:46
30,30A,Dasypus-novemcinctus,7/10/18 20:02,7/10/18,20:02:01
25,25A,Cuniculus-paca,7/10/18 21:08,7/10/18,21:08:10
22,22A,Dasypus-novemcinctus,7/10/18 23:16,7/10/18,23:16:42
8,8A,Dasyprocta-fuliginosa,7/11/18 1:09,7/11/18,1:09:11
16,16A,Didelphis-marsupialis,7/11/18 2:54,7/11/18,2:54:39
7,7B,Mazama-gouazoubira,7/11/18 5:03,7/11/18,5:03:06
28,28A,Mazama-gouazoubira,7/11/18 13:45,7/11/18,13:45:11
4,4B,Mitu-salvini,7/11/18 14:04,7/11/18,14:04:45
17,17A,Mazama-gouazoubira,7/11/18 16:50,7/11/18,16:50:00
8,8A,Mazama-americana,7/11/18 18:14,7/11/18,18:14:12
18,18A,Atelocynus-microtis,7/11/18 18:52,7/11/18,18:52:48
30,30B,Mazama-americana,7/11/18 20:57,7/11/18,20:57:20
30,30A,Mazama-gouazoubira,7/11/18 21:00,7/11/18,21:00:51
18,18A,Panthera-onca,7/11/18 22:29,7/11/18,22:29:59
22,22B,Cuniculus-paca,7/11/18 22:43,7/11/18,22:43:50
29,29A,Cuniculus-paca,7/11/18 23:00,7/11/18,23:00:03
30,30A,Dasypus-novemcinctus,7/12/18 0:55,7/12/18,0:55:56
2,2B,Dasypus-novemcinctus,7/12/18 1:31,7/12/18,1:31:30
25,25A,Myoprocta-pratti,7/12/18 7:32,7/12/18,7:32:29
3,3B,Tayassu-pecari,7/12/18 7:59,7/12/18,7:59:35
30,30A,Psophia-crepitans,7/12/18 11:59,7/12/18,11:59:05
16,16A,Mazama-gouazoubira,7/12/18 12:09,7/12/18,12:09:14
18,18A,Leucopternis-melanops,7/12/18 14:48,7/12/18,14:48:24
13,13A,Psophia-crepitans,7/12/18 17:05,7/12/18,17:05:48
11,11A,Myrmecophaga-tridactyla,7/12/18 17:48,7/12/18,17:48:11
4,4B,Cuniculus-paca,7/12/18 19:46,7/12/18,19:46:40
22,22A,Cuniculus-paca,7/12/18 21:53,7/12/18,21:53:26
8,8A,Cuniculus-paca,7/13/18 2:21,7/13/18,2:21:06
9,9A,Mazama-americana,7/13/18 5:04,7/13/18,5:04:52
24,24B,NA-NA,7/13/18 10:23,7/13/18,10:23:27
30,30A,Eira-barbara,7/13/18 11:42,7/13/18,11:42:12
13,13A,Psophia-crepitans,7/13/18 12:16,7/13/18,12:16:03
22,22A,Dasyprocta-fuliginosa,7/13/18 12:28,7/13/18,12:28:25
29,29A,Tayassu-pecari,7/13/18 13:07,7/13/18,13:07:55
19,19A,Pecari-tajacu,7/13/18 13:15,7/13/18,13:15:12
8,8A,Mazama-gouazoubira,7/13/18 15:37,7/13/18,15:37:58
9,9B,Mazama-americana,7/13/18 17:06,7/13/18,17:06:26
8,8A,Mazama-gouazoubira,7/13/18 17:16,7/13/18,17:16:04
23,23B,NA-NA,7/13/18 18:01,7/13/18,18:01:33
8,8A,Atelocynus-microtis,7/13/18 19:03,7/13/18,19:03:02
23,23B,Crypturellus-undulatus,7/14/18 6:26,7/14/18,6:26:22
18,18A,Psophia-crepitans,7/14/18 7:29,7/14/18,7:29:44
24,24B,Crypturellus-undulatus,7/14/18 8:16,7/14/18,8:16:40
17,17A,Mazama-gouazoubira,7/14/18 9:57,7/14/18,9:57:00
